α
ἀγαλλίδας
ἀγαλλομένα
ἀγαλλόμεναι
ἀγαλλομένη
ἀγάλλων
ἄγαλμα
ἀγάλμαθ
ἀγάλμασι
ἀγάλματ
ἀγάλματα
ἀγάλματι
ἀγάλματος
ἀγαλμάτων
ἄγαμαι
Ἀγαμέμνον
Ἀγάμεμνον
Ἀγαμέμνονα
Ἀγαμέμνονι
Ἀγαμεμνονίαν
Ἀγαμεμνονίδην
Ἀγαμεμνονίδης
Ἀγαμέμνονος
Ἀγαμέμνονός
ΑΓΑΜΕΜΝΩΝ
Ἀγαμέμνων
ἀγάμενον
Ἀγαμήδης
ἀγάμοις
ἄγαμον
ἄγαμος
ἀγάν
ἄγαν
ἀγανᾷ
ἀγαναῖς
ἀγαναῖσιν
ἀγανακτεῖ
ἀγανακτεῖν
ἀγανάκτησιν
ἀγανάκτησις
ἀγανακτητικόν
ἀγανακτοῦντας
ἀγανακτοῦντε
ἀγανακτοῦντες
ἀγανακτῶ
ἀγανακτῶν
ἀγανῇ
ἀγανῇσι
ἀγανῇσιν
ἀγάννιφον
ἀγανοὶ
ἀγανοῖς
ἀγανοῖσι
ἀγανοῖσιν
ἀγανὸν
ἀγανοφροσύνη
ἀγανοφροσύνῃ
ἄγανται
ἀγάνωρ
ἀγαπᾷ
ἀγαπαζέμεν
ἀγαπᾶν
ἀγαπατέ
ἀγαπατὸν
ἀγαπήσαντας
ἀγαπήσας
ἀγαπήσειν
ἀγαπήσουσιν
ἀγαπητὸν
ἀγαπητός
ἀγαπητὸς
ἀγαπῶ
ἀγαπῴη
ἀγαπώμενον
ἀγαπώμενος
ἀγαπῶν
ἀγαπῶντας
ἀγαπῶντες
ἀγαπῶσι
ἀγαπῶσιν
ἀγάρροον
ἀγασθέντες
ἀγασσάμενοι
ἀγάστονος
ἀγαστὸς
ἀγαυὴ
Ἀγαύη
ἀγαυὴν
Ἀγαύην
Ἀγαύης
ἀγαυοί
ἀγαυοὶ
Ἀγαυόν
ἀγαυοῦ
Ἀγβάτανα
Ἀγβατάνων
ἀγγάρου
ἄγγεα
ἀγγείλειε
ἀγγείλῃ
ἄγγειλον
ἀγγεῖον
ἀγγείου
ἀγγελεῖ
ἀγγελέοντας
ἀγγελέουσα
ἀγγελέουσι
ἀγγελέω
ἀγγελίᾳ
ἀγγελίαν
ἀγγελίας
ἀγγελιάων
ἀγγελίη
ἀγγελίην
ἀγγελιηφόρους
ἀγγελιώτην
ἀγγέλλεις
ἀγγέλλοντα
ἀγγέλλοντες
ἀγγέλλουσι
ἀγγέλλουσιν
ἀγγέλλων
ἄγγελοι
ἄγγελον
ΑΓΓΕΛΟΣ
Ἄγγελος
ἄγγελός
ἀγγέλου
ἀγγέλους
ἀγγελῶν
ἀγγέλων
ἄγγος
ἄγε
Ἀγεάνακτι
Ἀγεάνακτος
ἄγεθ
ἄγει
ἄγειν
ἀγεῖραι
ἀγείραις
ἀγείρας
ἀγείρομεν
ἀγειρόμενοι
ἀγειρομένων
ἀγείρω
ἄγεις
ἁγεῖτο
ἀγελαδὸν
ἀγελαῖα
ἀγελαίαις
ἀγελαίου
ἀγέλαις
ἀγέλαν
ἀγέλαστα
ἀγέλαστος
ἀγελείης
ἀγεληδὸν
ἀγέληφι
ἀγέμεν
ἁγεμόνευον
ἄγεν
ἆγεν
ἀγένειος
ἀγενέστατον
ἀγένητον
ἀγένητόν
ἀγεννές
ἀγεννὲς
ἀγεννέσταται
ἀγεννέστατον
ἀγεννῶς
ἀγέραστον
ἀγέραστος
ἄγερθεν
ἀγέρθη
ἀγερμῷ
ἀγέρονται
ἀγέρωχον
ἀγερώχων
ἄγεσθαι
ἀγέσθω
ἄγετ
ἄγεται
ἄγετε
ἄγετέ
ἄγετό
ἄγευστοι
ἄγευστος
ἄγη
ἄγῃ
ἀγηγέραθ
ἀγῆλαι
ἀγηλατήσειν
ἀγήνορα
ἀγήνορας
ἀγήνορες
ἀγήνορι
Ἀγηνορίδης
ἀγηνορίης
ἀγηνορίῃσιν
Ἀγήνορος
ἀγήνωρ
ἀγήραον
ἀγήρῳ
ἀγήρων
ἀγήρως
ἀγῇσιν
ἁγησιχόρων
ἄγηται
ἀγητή
ἁγητὴρ
ἀγητόν
ἀγητὸν
ἄγητον
ἀγητός
ἁγήτωρ
ἁγίαις
ἁγίας
ἀγίνεον
ἀγινεῦσι
ἀγινήσουσ
ἀγινήσουσι
ἁγιστεύει
ἄγκαθεν
ἀγκάλαις
ἀγκάλαισι
ἀγκαλέουσιν
ἀγκαλέσαιτ
ἀγκαλέσας
ἀγκαλέσασα
ἀγκαλίδεσσι
αγκας
ἀγκὰς
ἄγκεα
ἄγκιστρον
ἀγκοίνῃσιν
ἄγκος
ἀγκρεμάσασα
ἀγκρεμασθῇ
ἄγκρισιν
ἀγκύλα
ἀγκυλᾶν
ἀγκυλητοῖς
ἀγκυλομήτεω
ἀγκυλομήτην
ἀγκυλομήτης
ἀγκύλον
ἀγκυλότοξοι
ἀγκυλοχεῖλαι
ἀγκύλῳ
ἀγκών
ἀγκῶν
ἀγκῶνά
ἀγκῶνι
ἀγκῶνος
ἀγλά᾿
ἀγλαὰ
ἀγλααῖσι
ἀγλαὰς
ἀγλαΐας
ἀγλαΐζεται
ἀγλαΐη
ἀγλαΐηφι
ἀγλάισμα
ἀγλαόδωρ
ἀγλαόδωρε
ἀγλαόδωρος
ἀγλαόκαρποι
ἀγλαοκάρπου
ἀγλαὸν
ἀγλαὸς
Ἀγλαοτρίαιναν
ἀγλαῶπι
ἀγμῶν
ἀγνὰ
ἁγνὰ
ἁγνᾷ
ἁγναὶ
ἁγνάν
ἁγνὰς
ἁγνείαν
ἁγνείας
ἁγνεύῃ
ἁγνὴ
ἁγνήν
ἁγνὴν
ἁγνίζεσθαι
ἁγνίζον
ἁγνίσαι
ἁγνίσαντες
ἀγνοεῖ
ἀγνοεῖν
ἀγνοεῖς
ἀγνοεῖσθαι
ἀγνόημα
ἀγνοήσειεν
ἀγνοήσῃς
ἁγνοὶ
ἀγνοίᾳ
ἄγνοιαν
ἀγνοίας
ἁγνόν
ἁγνὸν
ἀγνοοῖ
ἀγνοοῖμεν
ἀγνοουμένης
ἀγνοουμένου
ἀγνοουμένων
ἀγνοοῦντα
ἀγνοοῦντας
ἀγνοοῦντες
ἀγνοοῦντές
ἀγνοοῦντος
ἀγνοούντων
ἀγνοοῦσι
ἁγνόταται
ἁγνοτάτου
ἁγνοῦ
ἄγνου
Ἁγνούσιος
Ἁγνουσίων
ἀγνοῶ
ἀγνοῶν
ἀγνύμεναι
ἀγνυμενάων
ἁγνῷ
ἀγνώμονες
ἀγνωμόνως
ἀγνωμοσύναν
ἁγνῶν
Ἅγνωνος
ἀγνὼς
ἁγνῶς
ἀγνωσίᾳ
ἀγνωσίη
ἀγνῶτ
ἀγνῶτα
ἄγνωτα
ἄγνωτά
ἀγνῶτος
ἄγοι
ἄγοιεν
ἄγοιντο
ἄγοιτ
ἄγοιτο
ἄγομαι
ἄγομεν
ἀγόμενοι
ἀγόμενον
ἀγόμενος
ἀγομένους
ἀγομένω
ἄγον
ἆγον
ἀγόνοις
ἄγοντ
ἄγοντα
ἄγονται
ἄγοντας
ἄγοντε
ἄγοντες
ἄγοντι
ἀγόντων
ἀγορᾷ
ἀγοραῖοι
ἀγοραῖος
ἀγοραίους
ἀγοραῖσι
ἀγοραίων
ἀγορὰν
ἀγορὰς
ἀγορᾶς
ἀγοράσδων
ἀγόρευε
ἀγορεύειν
ἀγορεύεις
ἀγορευέμεν
ἀγόρευεν
ἀγορεύεσθαι
ἀγορεύοι
ἀγορεύοις
ἀγόρευον
ἀγορεῦσαι
ἀγόρευσε
ἀγορευσεν
ἀγόρευσεν
ἀγόρευσον
ἀγορεύσω
ἀγορεύω
ἀγορεύων
ἀγορέων
ἀγορῇ
ἀγορὴν
ἀγορῆς
ἀγορήσατο
ἀγορητὴν
ἀγορητής
ἀγορῆφι
ἀγὸς
ἄγος
ἀγοστόν
ἀγοστῷ
αγοῦντ
ἄγουσ΄
ἄγουσα
ἄγουσά
ἄγουσαν
ἀγούσης
ἄγουσι
ἄγουσιν
ἄγρα
ἄγρᾳ
ἄγραν
ἄγραπτα
Ἄγρας
ἄγραυλοι
ἀγραύλοιο
ἄγραυλος
ἀγραύλου
ἄγραφοι
ἄγραφος
Ἀγρέα
ἀγρεῖ
Ἀγρεῖος
ἀγρεύειν
ἀγρεύμασιν
ἀγρευμάτων
ἀγρεύς
ἀγρεύων
ἄγρην
ἄγρια
ἄγριαι
ἀγριαίνεις
ἀγρίαις
ἀγρίαν
ἀγρίας
ἀγριελαίω
ἄγριοι
ἀγρίοις
ἄγριον
ἄγριόν
ἀγριοποιὸν
ἄγριος
ἀγριότητα
ἀγρίου
ἀγρίους
ἀγρίῳ
ἀγρίων
ἀγριωπὸν
ἀγρίως
ἀγριωτάτη
ἀγριώτατον
ἀγριωτέραν
ἀγριώτερον
ἀγρόθι
ἄγροικα
ἀγροικίαν
ἀγροικίας
ἄγροικον
ἄγροικος
ἄγροικός
ἀγροικότερον
ἀγροίκῳ
ἀγροίκως
ἀγροῖς
ἀγροιώταις
ἀγρόμεναι
ἀγρομένοισι
ἀγρομένοισιν
ἀγρομένων
ἀγρόν
ἀγρὸν
ἀγρονόμοι
ἀγρόνομοι
ἀγρονόμοις
ἀγρονόμων
ἀγροτέραν
ἀγροτέρας
ἀγροτέρου
ἀγροῦ
ἀγρούς
Ἀγροὺς
ἀγρυπνία
ἄγρυπνον
ἀγρῷ
ἀγρῶν
Ἄγρων
Ἄγρωνος
ἀγρώσσουσα
ἄγρωστιν
ἄγρωστις
ἀγρώτας
ἀγυιαῖς
ἀγυιᾶν
ἀγυιάς
ἀγυιᾶτ
ἀγυμνασίας
ἀγύμναστος
ἀγυμνάστους
ἀγύρει
ἀγύρται
ἀγύρτην
ἀγύρτρια
ἄγχ
ἀγχέμαχοι
ἀγχεμάχοις
ἄγχι
ἀγχιάλη
ἀγχιβαθὲς
ἀγχίθυρος
ἀγχιμόλοιο
ἀγχίμολον
ἀγχίμολόν
ἀγχίνοιαν
ἀγχίνου
ἀγχίπτολις
Ἀγχίσαν
ἀγχιστεῖα
ἀγχιστῖνοι
ἄγχιστον
ἄγχιστος
ἀγχίστροφον
ἀγχιστρόφως
ἄγχοιτο
ἀγχόνης
ἀγχοτάτω
ἀγχοῦ
ἄγχων
ἁγὼ
ἄγω
ἀγωγῇ
ἀγωγῆς
ἄγωμεν
ἀγών
ἀγὼν
ἀγῶν
ἁγὼν
ἄγων
ἀγῶνα
ἀγῶνά
ἀγῶνας
ἀγῶνες
ἀγῶνι
ἀγωνίαν
ἀγωνίας
ἀγωνίζεσθαι
ἀγωνιζόμεθα
ἀγωνιζόμενοι
ἀγωνιζομένοις
ἀγωνιζομένων
ἀγωνίζονται
ἀγωνίους
ἀγωνισάμενος
ἀγωνίσασθαι
ἀγώνισμ
ἀγώνισμα
ἀγωνίσματα
ἀγωνιστάς
ἀγωνιστὴν
ἀγωνιστικά
ἀγωνιστικὸν
ἀγωνιστῶν
ἀγωνοθετῶν
ἀγῶνος
ἄγωνται
ἀγώνων
ἀγῶσι
ἄγωσι
ἀγῶσιν
Αδ
ἅδ
ᾍδα
ἀδαημονίη
ἀδαίετον
ἄδαιτον
ἄδακρυν
ἀδάκρυτον
ἀδάκρυτος
ἀδάμαντα
ἀδάμαντι
ἀδαμαντίνως
ἀδάμαντος
ἀδάμαστος
ἀδάματ
ἀδάματόν
ἁδανεισάμην
Ἁδανείσατο
ἅδε
ἁδέα
ἀδεὲς
ἀδεέστερον
ἁδέϊ
ᾄδει
ἀδείᾳ
ἁδεῖα
ἁδεῖαν
ἄδειαν
ἁδείας
Ἀδειμάντου
ἁδεῖν
ᾄδειν
ᾄδεις
ἀδελφά
ἀδελφὰ
ἀδελφαὶ
ἀδελφὰς
ἄδελφε
ἀδελφεὰν
ἀδελφειοὶ
ἀδελφειοῦ
ἀδελφεοὶ
ἀδελφεὸν
ἀδελφεὸς
ἀδελφεοῦ
ἀδελφὴ
ἀδελφήν
ἀδελφὴν
ἀδελφῆς
ἀδελφιδέου
ἀδελφιδῆν
ἀδελφοὶ
ἀδελφοῖν
ἀδελφοῖς
ἀδελφόν
ἀδελφὸν
ἀδελφός
ἀδελφὸς
ἁδελφός
ἁδελφὸς
ἀδελφοῦ
ἀδελφούς
ἀδελφοὺς
ἀδελφὼ
ἀδελφῷ
ἀδελφῶν
ᾄδεσθαι
ἀδέσποτον
ἀδεψήτοισι
ἀδεῶς
ἅδῃ
ἀδηκότες
ἄδηλα
ἀδήλοις
ἄδηλον
ἀδήλου
ἀδήλῳ
ἀδήλων
ἀδήλως
ἀδημονεῖ
ἄδην
ἀδήριτον
ᾄδης
ἁδήσειεν
ἀδιαίρετοι
ἀδιαίρετος
ἀδιανέμητα
ἀδίαντον
ἀδιάπτωτοι
ἀδιάπτωτον
ἀδιάφθορον
ἀδιάφθορος
ἀδιάχυτος
ἀδιήγηθ
ἄδικα
ἄδικά
ἀδικεῖ
ἀδικεῖν
ἀδικεῖπλὴν
ἀδικεῖς
ἀδικεῖσθαι
ἀδικεῖται
ἀδικέων
ἀδικηθείς
ἀδίκημ
ἀδικήματος
ἀδικημάτων
ἀδικῆσαι
ἀδικήσαιμι
ἀδικησάντων
ἀδικήσας
ἀδικήσει
ἀδικήσων
ἀδικία
ἀδικίαν
ἀδικίας
ἀδικίης
ἄδικοι
ἀδικοῖεν
ἀδίκοισι
ἄδικον
ἄδικόν
ΑΔΙΚΟΣ
ἄδικος
ἄδικός
ἀδίκου
ἀδικούμεθα
ἀδικούμενοί
ἀδικούμενος
ἀδικουμένους
ἀδικουμένων
ἀδικοῦντ
ἀδικοῦντ᾿
ἀδικοῦντα
ἀδικοῦντά
ἀδικοῦντας
ἀδίκους
ἀδικοῦσι
ἀδικοῦσιν
ἀδικῶ
ἀδίκῳ
ἀδικῶν
ἀδίκων
ἀδικῶνται
ἀδίκως
ἀδικώτατον
ἀδικωτέρα
ἀδικώτεραι
ἀδικωτέραν
ἀδικώτερον
ἀδικώτερος
ἁδινὰ
ἀδινὴν
ἀδινῆς
ἀδινὸν
ἁδινὸν
ἀδινὸς
ἁδινοῦ
ἀδινῷ
ἅδιον
Ἁδίστα
ἀδμής
ἀδμῆτας
Ἀδμήτη
Ἀδμήτοιο
Ἀδμήτου
ἀδοκήτου
ἀδοκήτων
ἀδοκίμων
ἀδολεσχίᾳ
ἀδολεσχίαν
ἀδολεσχίας
ἀδολεσχῶν
ἀδόλοισι
ἀδόλως
ᾄδομεν
ᾀδόμενα
ἅδον
ἁδόντα
ᾄδοντάς
ᾄδοντες
ᾀδόντων
ἀδοξία
ἀδοξίαν
ἄδοξον
ἀδοξότερα
ἀδόξων
ἀδόξως
ᾍδου
ᾄδουσι
ᾄδουσιν
Ἀδραστείας
Ἄδραστον
Ἄδραστος
Ἀδράστου
Ἀδράστῳ
ἁδρεπήβολον
Ἄδρηστε ἐγώ σε συμφορῇ πεπληγμένον ἀχάρι τήν τοι οὐκ ὀνειδίζω ἐκάθηρα καὶ
Ἀδρήστεια
Ἄδρηστον
Ἄδρηστος
Ἀδρίαν
ἁδρός
ἁδρὸς
ἁδρότερον
Ἁδύ
ἁδὺ
ἁδυβόᾳ
ἁδυεπὲς
ἁδυμελεῖ
ἀδυναμίαν
ἀδύνατα
ἀδυνατήσασα
ἀδύνατοι
ἀδύνατον
ἀδύνατόν
ἀδύνατος
ἀδυνάτους
ἀδυνατοῦσαι
ἀδυνατῶν
ἀδυνάτων
ἀδυνάτως
ἀδυναωτάτων
ἁδύπολις
ἄδυτον
ἅδωκας
Ἄδων
ᾄδων
Ἄδωνι
ΑΔΩΝΙΑΖΟΥΣΑΙ
Ἀδώνιδι
Ἀδώνιδος
Ἄδωνιν
Ἄδωνις
ἀδωρήτους
ἄδωρος
ἀδωρότατος
ἀδώτῃ
ἀὲ
ἄεθλα
ἀέθλεον
ἀεθλεύοντι
ἀεθλεύουσα
ἀεθλεύων
ἀέθλια
ἀέθλοις
ἄεθλον
ἄεθλος
ἀέθλου
ἀέθλους
ἀεθλοφόροι
ἀεθλοφόρον
ἀεθλοφόρος
ἀέθλῳ
ἀέθλων
ἀεί
ἀεὶ
ἀειγενές
ἄειδε
ἀείδει
ἀείδειν
ἀείδες
ἀείδεται
ἀείδῃ
ἀειδής
ἀείδοι
ἄειδον
ἀείδοντες
ἀείδοντι
ἀείδουσιν
ἀείδω
ἀείδων
ἀεικέα
ἀεικείῃ
ἀεικείην
ἀεικελίῃ
ἀεικέλιον
ἀεικές
ἀεικὲς
ἀεικής
ἀεικὴς
ἀεικίζει
ἀείκιζεν
ἀεικίνητον
ἀεικισσαίμεθ
ἀεικίσσασθαι
ἀεικίσσωσι
ἀεικιῶ
ἀειμνήστους
ἀείναον
ἀείνων
ἀεῖραι
ἀειραμένη
ἄειραν
ἀείρας
ἀειράσας
ἄειρε
ἀείρει
ἀείρειν
ἀείρετο
ἀειρόμεναι
ἀειρομένης
ἄειρον
ἀείρων
ἀείσαι
ἀεῖσαι
ἀείσας
ἀείσει
ἀείσῃς
ἀείσομεν
ἀείφρουρος
ἀεκαζομένη
ἀεκαζομένῃ
ἀεκαζομένην
ἀέκητι
ἀέκοντα
ἀέκοντας
ἀέκοντε
ἀέκοντος
ἀέκουσ᾿
ἀέκουσαν
ἀέκτορα
ἀέκων
ἀέλ
ἀελίου
ἀελίῳ
ἀελλάδων
ἄελλαι
ἀέλλαις
ἀέλλας
ἀέλλη
ἀελλόπος
ἀέλπτοις
ἄελπτον
ἀέλπτου
ἀέλπτως
ἄεμμα
ἀέναοι
ἀενάοις
ἀενάοισι
ἀέναον
ἀενάου
ἀενάω
ἀενάων
ἀέντι
ἄεξε
ἀέξει
ἀέξειν
ἀέξετο
ἀεξήσεσθαι
ἀεξιφύλλους
ἀεξομένοιο
ἀεξομένων
ἀέξων
ἀέπτοις
Ἀέρα
ἀεργίη
ἀεργοὶ
Ἀεργοῖς
ἀεργὸν
ἀεργός
ἀεργὸς
ἀεργούς
ἀεργῷ
ἀέρδην
ἀερθεὶς
ἀερθέν
ἀέρθη
ἀέρι
ἀερίας
Ἀεροβατῶ
ἀερονηχεῖς
ἀεροφοίτοις
ἀεσίφρονα
ἀετὸς
ἀετοῦ
Ἀζαντίδα
ἅζεαι
ἅζεται
ἅζεταί
ἅζετο
ἄζηλα
ἀζημίους
ἄζηται
ἀζηχὲς
Ἄζιλιν
ἅζομαι
ἁζόμενοι
ἁζόμενος
ἄζυγες
ἄζυξ
ἄζωστοι
αᾔ
ἀηδέα
ἀηδεῖ
ἀηδές
ἀηδέστατον
ἀηδής
ἀηδὴς
ἀηδίας
ἀηδίαςὁρῶντι
ἀηδόνα
ἀηδονιδῆες
ἀηδόνιον
ἀηδόνος
ἀηδόσι
ἀηδὼν
ἀηδῶς
ἀήθεις
ἀήθη
ἀήθης
ἀηθίη
ἀηθίης
Ἀηθναίη
ἀήματα
ἀημάτων
ἀήμενος
ἄηντο
Ἀήρ
ἀὴρ
ἀῆται
ἄηται
ἀήτεω
ἀήτης
ἄητο
ἄητον
ἀήττητον
ἄθ~λ~ι~ε
ἀθαλάττωτος
Ἀθάμανθ᾿
Ἀθάμαντος
Ἀθάμας
Ἀθάνα
Ἀθαναία
Ἀθαναίας
Ἀθαναίων
ἀθανασίαν
ἀθανασίας
ἀθάνατ
ἀθάνατα
ἀθάναται
ἀθανάταν
ἀθανάτας
ἀθανάτῃ
ἀθανάτην
ἀθανάτῃς
ἀθανάτῃσι
ἀθανάτῃσιν
ἀθάνατοι
ἀθάνατοί
ἀθανάτοιο
ἀθανάτοις
ἀθανάτοισι
ἀθανάτοισιν
ἀθάνατον
ἀθάνατόν
ἀθάνατος
ἀθανάτου
ἀθανάτους
ἀθανάτῳ
ἀθανάτων
ἀθανατωτέρων
ἄθαπτον
ἄθαπτος
ἄθεα
ἀθεμίστια
ἀθέμιστος
ἄθεον
ἄθεος
ἀθερίζει
ἀθερίζειν
ἀθέριζον
ἀθερίζω
ἀθέσφατα
ἀθέσφατον
ἀθέσφατος
ἀθέῳ
ἀθεώτατον
Ἀθηνᾶ
Ἀθήναζε
Ἀθῆναι
Ἀθηναίαν
Ἀθηναίας
Ἀθηναῖε
Ἀθηναίη
Ἀθηναίῃ
Ἀθηναίην
Ἀθηναίης
Ἀθηναῖοι
Ἀθηναίοις
Ἀθηναίοισι
Ἀθηναῖος
Ἀθηναίου
Ἀθηναίους
Ἀθηναίων
Ἀθηνᾶς
Ἀθήνας
Ἀθηνάων
Ἀθηνέων
Ἀθήνη
Ἀθήνῃ
Ἀθήνην
Ἀθήνης
Ἀθήνησι
Ἀθήνησιν
Ἀθηνογένους
Ἀθηνῶν
ἀθηρηλοιγὸν
ἄθικτον
ἀθίκτων
ἆθλα
ἆθλά
ἀθλεύων
ἄθλησιν
ἀθληταὶ
ἀθλητὰς
ἀθλητοῦ
ἀθλητῶν
ἄθλι
ἀθλία
ἁθλία
ἄθλια
ἀθλίαιν
ἀθλίαν
ἀθλίας
ἄθλιοι
ἄθλιον
ἄθλιος
ἄθλιός
ἀθλίου
ἀθλίους
ἀθλίως
ἀθλιωτάτη
ἀθλιώτατον
ἀθλιώτατος
ἀθλιώτερ
ἀθλιώτεροι
ἀθλιώτερος
ἀθλιωτέρων
ἆθλον
ἄθλους
ἀθλοφόρους
ἄθλων
Ἀθόως
ἀθρεῖ
ἄθρει
ἀθρήσαθ
ἀθρῆσαι
ἀθρήσας
ἀθρήσασα
ἀθρήσειεν
ἄθρησον
ἀθρήσω
ἀθρόα
ἁθρόᾳ
ἀθρόαι
ἁθρόαι
ἀθρόαν
ἁθρόαν
ἀθροιζέτω
ἁθροίσαντ
ἀθροισμοὶ
ἀθρόοι
ἁθρόοι
ἀθρόος
Ἄθροος
ἁθρόους
ἀθρόῳ
ἀθροώτερον
ἀθυμείτω
ἀθυμία
ἀθυμίᾳ
ἀθυμίαν
ἀθυμίην
ἄθυμος
ἀθυμοτέρους
ἀθύμου
ἀθύμους
ἀθυμοῦσαν
ἀθυμῶ
ἄθυρμα
ἀθύροι
Ἄθω
ἀθῶιος
Ἀθῷον
ἀθῷος
ἀθῴους
Αι
Αἰ
αἱ
αἴ
αἲ
αἳ
αἷ
αἲ γὰρ τοῦτο θεοὶ ποιήσειαν ἐπὶ νόον νησιώτῃσι ἐλθεῖν ἐπὶ Λυδῶν παῖδας σὺν ἵπποισι
αἶα
αἰάζειν
αἰαῖ
Αἰαίη
Αἰαίην
Αἰαίης
Αἰακίδᾳ
Αἰακιδᾶν
Αἰακίδαο
Αἰακίδην
Αἰακίδης
Αἰακόν
Αἰακὸν
Ἄιακος
Αἰακοῦ
Αἰακῷ
Αἶαν
Αἶάν
Αἶάνδε
αἰανῆ
αἰανὴς
Αἴαντε
Αἴαντες
Αἴαντι
Αἴαντος
Αἴαντός
αἰανῶς
Αἴας
Αἰβοῖ
αἵγ
αἶγα
αἶγά
Αἰγαί
Αἰγαῖον
Αἰγαίου
Αἰγαίῳ
Αἰγαίων᾿
αἰγανέης
αἶγας
αἵγε
Αἰγέα
Αἰγεῖ
Αἰγείδη
Αἰγεΐδην
αἰγείην
αἰγείοισι
αἴγειόν
αἰγείου
αἴγειροι
αἴγειρος
αἰγείῳ
αἶγες
Αἰγεῦ
ΑΙΓΕΥΣ
Αἰγεύς
Αἰγεὺς
Αἰγέως
αἰγιαλοῖς
αἰγιαλόνδε
αἰγίδι
αἰγίδος
αἰγίλιπος
Αἰγίλω
Αἰγιμιοῦ
Αἰγίνᾳ
Αἴγινα
Αἴγιναν
Αἰγίνη
Αἰγίνῃ
Αἰγίνηθεν
Αἰγίνης
Αἰγινῆται
Αἰγινῆταί
Αἰγινήταις
Αἰγινήτας
ΑΙΓΙΝΗΤΗι
Αἰγινητῶν
αἰγιόχοιο
αἰγίοχον
αἰγιόχου
Αἰγίπλαγκτον
Αἴγισθ
Αἰγίσθοιο
ΑΙΓΙΣΘΟΣ
Αἴγισθος
αἴγλα
αἴγλαν
αἰγλᾶντα
αἴγλας
αἴγλη
αἰγλήεντος
αἰγλήεσσα
αἴγλην
Αἴγλης
Αἰγλήτην
αἰγός
αἰγὸς
αἰγυπιοὶ
αἰγυπιῶν
Αἰγύπτιά
Αἰγυπτίας
Αἰγυπτίῃσιν
Αἰγύπτιοι
Αἰγυπτίοις
Αἰγυπτίους
Αἰγυπτιστί
Αἰγυπτίων
Αἴγυπτοί
Αἴγυπτον
Αἴγυπτος
Αἰγύπτου
Αἰγύπτῳ
αἰγῶν
αἵδ
ἄϊδ̓
Ἀίδα
Ἀΐδα
Ἄιδα
Ἅιδα
Ἀΐδαν
Ἅιδαν
Αίδαο
Ἀίδαο
Ἀΐδαο
Ἅιδας
Αἵδε
αἰδεῖο
αἰδεῖσθ
αἰδεῖσθαι
αἰδεῖσθαί
αἰδεῖσθε
αἰδεῖται
αἴδεο
αἰδέομαι
αἰδέοντ
αἴδεσαι
αἰδέσεται
αἰδέσῃ
αἰδεσθεὶς
αἰδεσθῇς
